rule_code,maturity,positive,negative,exception,boundary,candidate,reference,expert_verified,verified_positive,verified_negative,verified_exception,verified_candidate_or_reference,structural_gate_passed,production_gate_passed
izhar_halqi,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
izhar_mutlaq,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
idgham_bighunnah,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
idgham_bilaghunnah,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
iqlab,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
ikhfa_haqiqi,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
izhar_shafawi,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
ikhfa_shafawi,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
idgham_mimi,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
ghunnah_mushaddadah,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
qalqalah_sughra,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
qalqalah_kubra,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
qalqalah_akbar,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
alif_lam_qamariyyah,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
alif_lam_shamsiyyah,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
lam_jalalah_tafkhim,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
lam_jalalah_tarqiq,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
ra_tafkhim,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
ra_tarqiq,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
ra_both_permitted,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_tabii,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
mad_badl,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
mad_tamkin,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_iwad,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
mad_silah_qasirah,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_silah_tawilah,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_wajib_muttasil,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
mad_jaiz_munfasil,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
mad_lazim_kalimi_muthaqqal,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
mad_lazim_kalimi_mukhaffaf,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
mad_lazim_harfi_muthaqqal,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_lazim_harfi_mukhaffaf,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_harfi_tabii,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
mad_ayn_muqattaah,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_farq,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
mad_arid_lissukun,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
mad_lin,core_deterministic,1,1,0,0,0,0,0,0,0,0,0,True,False
idgham_mutamathilain,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
idgham_mutajanisain,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
idgham_mutaqaribain,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
hamzat_wasl,core_deterministic,1,1,0,0,0,1,0,0,0,0,0,True,False
silent_letter,reference_assisted,0,0,0,0,1,0,0,0,0,0,0,True,False
saktah_wajibah,deterministic_with_exceptions,1,1,1,0,0,0,0,0,0,0,0,True,False
saktah_jaizah,expert_goldset_required,0,0,0,0,1,0,0,0,0,0,0,True,False
